respondent_id,ideology,gender,education,age_group,region,policy_code,fairness,policy_label
1,7,2,6,4,4,s_15,2.0,Road Pricing
2,5,1,6,2,5,s_15,2.0,Road Pricing
3,2,1,2,1,1,s_15,4.0,Road Pricing
4,3,2,5,6,4,s_15,4.0,Road Pricing
5,2,2,2,1,3,s_15,3.0,Road Pricing
6,6,2,4,3,3,s_15,1.0,Road Pricing
7,3,2,8,3,3,s_15,2.0,Road Pricing
8,5,1,5,4,4,s_15,3.0,Road Pricing
9,6,2,5,3,4,s_15,3.0,Road Pricing
10,3,1,6,3,1,s_15,5.0,Road Pricing
11,3,2,6,6,5,s_15,5.0,Road Pricing
12,6,1,5,3,1,s_15,4.0,Road Pricing
13,1,1,5,3,3,s_15,4.0,Road Pricing
14,8,1,8,3,4,s_15,4.0,Road Pricing
15,7,2,6,5,1,s_15,5.0,Road Pricing
16,2,2,8,6,1,s_15,1.0,Road Pricing
17,7,2,5,6,1,s_15,4.0,Road Pricing
18,6,2,2,5,5,s_15,1.0,Road Pricing
19,6,1,2,3,2,s_15,4.0,Road Pricing
20,2,2,5,6,2,s_15,3.0,Road Pricing
21,2,2,8,5,5,s_15,4.0,Road Pricing
22,4,1,5,3,2,s_15,3.0,Road Pricing
23,4,2,1,2,5,s_15,3.0,Road Pricing
24,1,1,5,6,3,s_15,5.0,Road Pricing
25,3,2,4,5,4,s_15,5.0,Road Pricing
26,6,1,4,3,5,s_15,1.0,Road Pricing
27,6,1,5,3,5,s_15,3.0,Road Pricing
29,6,1,2,2,3,s_15,1.0,Road Pricing
30,8,2,5,3,4,s_15,2.0,Road Pricing
32,6,2,4,3,4,s_15,1.0,Road Pricing
33,3,2,6,6,4,s_15,4.0,Road Pricing
34,3,1,5,6,4,s_15,4.0,Road Pricing
35,7,2,4,3,5,s_15,1.0,Road Pricing
36,3,2,5,6,1,s_15,3.0,Road Pricing
37,3,2,1,6,2,s_15,4.0,Road Pricing
38,6,2,6,5,4,s_15,4.0,Road Pricing
39,8,1,5,5,4,s_15,4.0,Road Pricing
40,6,1,4,2,4,s_15,3.0,Road Pricing
41,2,2,4,6,1,s_15,5.0,Road Pricing
42,8,1,2,3,1,s_15,1.0,Road Pricing
43,4,2,4,3,1,s_15,4.0,Road Pricing
44,2,2,6,3,1,s_15,3.0,Road Pricing
45,3,1,2,5,5,s_15,4.0,Road Pricing
46,1,1,2,3,1,s_15,4.0,Road Pricing
47,2,1,8,4,3,s_15,3.0,Road Pricing
48,5,1,1,1,4,s_15,1.0,Road Pricing
50,2,2,2,2,1,s_15,4.0,Road Pricing
51,6,2,2,2,2,s_15,3.0,Road Pricing
52,5,1,6,2,1,s_15,3.0,Road Pricing
53,9,2,6,4,3,s_15,4.0,Road Pricing
54,2,1,5,2,2,s_15,1.0,Road Pricing
55,6,1,5,6,2,s_15,4.0,Road Pricing
56,6,2,4,2,3,s_15,5.0,Road Pricing
57,11,2,4,5,2,s_15,2.0,Road Pricing
59,3,2,5,2,3,s_15,1.0,Road Pricing
60,6,2,4,4,3,s_15,3.0,Road Pricing
61,6,1,1,1,1,s_15,2.0,Road Pricing
62,6,2,4,2,3,s_15,3.0,Road Pricing
63,9,1,5,4,2,s_15,3.0,Road Pricing
64,7,1,2,2,1,s_15,3.0,Road Pricing
65,6,2,4,3,3,s_15,4.0,Road Pricing
66,2,2,5,4,4,s_15,3.0,Road Pricing
68,10,2,5,5,5,s_15,1.0,Road Pricing
69,4,2,6,4,1,s_15,4.0,Road Pricing
70,2,1,6,2,1,s_15,4.0,Road Pricing
71,6,2,1,5,3,s_15,3.0,Road Pricing
73,5,1,5,4,2,s_15,2.0,Road Pricing
75,2,2,1,5,1,s_15,5.0,Road Pricing
76,3,1,6,3,4,s_15,3.0,Road Pricing
77,2,2,5,6,1,s_15,3.0,Road Pricing
79,6,1,6,3,3,s_15,3.0,Road Pricing
80,2,1,5,6,1,s_15,4.0,Road Pricing
81,5,1,6,2,1,s_15,4.0,Road Pricing
83,6,2,5,4,2,s_15,3.0,Road Pricing
84,5,2,6,4,1,s_15,4.0,Road Pricing
85,2,2,8,3,3,s_15,5.0,Road Pricing
86,6,2,6,6,1,s_15,1.0,Road Pricing
87,4,1,5,6,1,s_15,2.0,Road Pricing
88,2,1,4,6,5,s_15,4.0,Road Pricing
89,5,1,5,3,3,s_15,4.0,Road Pricing
90,2,2,6,3,1,s_15,5.0,Road Pricing
92,6,1,4,5,2,s_15,3.0,Road Pricing
93,10,1,5,2,4,s_15,2.0,Road Pricing
94,7,1,8,5,5,s_15,4.0,Road Pricing
95,6,2,5,5,3,s_15,1.0,Road Pricing
96,10,2,4,5,5,s_15,1.0,Road Pricing
97,2,2,8,6,4,s_15,4.0,Road Pricing
98,11,2,4,4,2,s_15,1.0,Road Pricing
99,5,1,4,5,4,s_15,5.0,Road Pricing
100,5,2,5,6,1,s_15,3.0,Road Pricing
101,1,2,4,6,4,s_15,4.0,Road Pricing
102,5,1,5,6,1,s_15,5.0,Road Pricing
103,3,1,2,2,4,s_15,2.0,Road Pricing
104,3,2,4,3,4,s_15,4.0,Road Pricing
105,3,2,5,3,1,s_15,2.0,Road Pricing
106,8,2,2,3,1,s_15,4.0,Road Pricing
107,4,1,5,6,1,s_15,5.0,Road Pricing
108,3,1,6,6,3,s_15,5.0,Road Pricing
109,4,2,5,2,3,s_15,2.0,Road Pricing
110,6,2,1,6,4,s_15,2.0,Road Pricing
111,2,1,2,5,3,s_15,4.0,Road Pricing
112,4,1,5,5,3,s_15,4.0,Road Pricing
113,3,2,2,6,1,s_15,1.0,Road Pricing
114,5,3,6,1,3,s_15,2.0,Road Pricing
115,6,1,2,1,3,s_15,3.0,Road Pricing
116,10,1,5,4,4,s_15,4.0,Road Pricing
117,1,1,5,6,3,s_15,4.0,Road Pricing
118,6,2,5,1,5,s_15,2.0,Road Pricing
119,3,1,5,6,3,s_15,4.0,Road Pricing
120,6,1,2,3,3,s_15,3.0,Road Pricing
121,5,2,6,2,1,s_15,3.0,Road Pricing
123,2,2,6,3,1,s_15,5.0,Road Pricing
124,6,2,2,3,1,s_15,3.0,Road Pricing
125,4,2,4,2,3,s_15,4.0,Road Pricing
126,1,2,6,4,3,s_15,3.0,Road Pricing
127,2,1,5,5,2,s_15,1.0,Road Pricing
128,3,1,5,4,1,s_15,3.0,Road Pricing
129,7,1,6,2,1,s_15,4.0,Road Pricing
130,4,1,5,5,2,s_15,2.0,Road Pricing
132,3,2,5,6,1,s_15,5.0,Road Pricing
133,6,1,5,3,1,s_15,2.0,Road Pricing
134,6,1,4,2,4,s_15,4.0,Road Pricing
135,2,1,2,1,3,s_15,4.0,Road Pricing
137,8,1,4,5,2,s_15,2.0,Road Pricing
138,2,1,2,3,1,s_15,4.0,Road Pricing
139,6,1,8,4,3,s_15,3.0,Road Pricing
140,8,1,4,5,2,s_15,1.0,Road Pricing
141,4,2,5,4,3,s_15,3.0,Road Pricing
142,2,1,6,2,1,s_15,4.0,Road Pricing
143,1,1,2,6,2,s_15,5.0,Road Pricing
144,5,2,5,6,3,s_15,3.0,Road Pricing
145,4,1,2,6,5,s_15,4.0,Road Pricing
146,6,1,4,3,5,s_15,2.0,Road Pricing
147,2,2,6,2,1,s_15,4.0,Road Pricing
148,2,2,1,1,1,s_15,4.0,Road Pricing
149,2,2,2,5,1,s_15,5.0,Road Pricing
150,2,2,4,3,1,s_15,5.0,Road Pricing
151,3,1,5,5,2,s_15,2.0,Road Pricing
152,3,2,8,2,2,s_15,2.0,Road Pricing
153,3,2,8,4,5,s_15,4.0,Road Pricing
154,6,1,4,4,4,s_15,4.0,Road Pricing
155,8,2,5,5,3,s_15,3.0,Road Pricing
156,5,1,2,1,4,s_15,3.0,Road Pricing
158,6,1,2,1,3,s_15,3.0,Road Pricing
159,10,2,1,4,3,s_15,2.0,Road Pricing
160,5,1,8,6,3,s_15,4.0,Road Pricing
161,6,2,5,3,1,s_15,2.0,Road Pricing
162,3,1,8,5,4,s_15,4.0,Road Pricing
163,6,1,5,5,4,s_15,2.0,Road Pricing
164,8,1,6,2,1,s_15,2.0,Road Pricing
165,2,1,5,4,4,s_15,2.0,Road Pricing
166,3,3,1,2,4,s_15,2.0,Road Pricing
167,2,2,5,4,1,s_15,3.0,Road Pricing
168,5,2,5,2,2,s_15,4.0,Road Pricing
169,5,1,6,2,1,s_15,3.0,Road Pricing
170,2,1,6,6,2,s_15,1.0,Road Pricing
171,2,1,5,3,1,s_15,4.0,Road Pricing
172,6,1,6,4,1,s_15,4.0,Road Pricing
173,2,1,6,2,3,s_15,3.0,Road Pricing
174,4,1,6,2,1,s_15,2.0,Road Pricing
175,9,1,5,6,2,s_15,5.0,Road Pricing
176,11,2,4,4,4,s_15,2.0,Road Pricing
177,6,2,8,2,1,s_15,3.0,Road Pricing
178,9,2,6,6,3,s_15,2.0,Road Pricing
179,5,1,2,1,1,s_15,1.0,Road Pricing
180,5,1,5,6,2,s_15,4.0,Road Pricing
181,7,1,6,4,4,s_15,2.0,Road Pricing
182,7,2,6,5,5,s_15,1.0,Road Pricing
183,2,2,6,6,1,s_15,5.0,Road Pricing
184,2,2,4,6,4,s_15,4.0,Road Pricing
185,3,1,5,5,3,s_15,2.0,Road Pricing
186,5,2,4,3,2,s_15,2.0,Road Pricing
187,6,1,5,2,3,s_15,3.0,Road Pricing
188,2,2,6,2,1,s_15,5.0,Road Pricing
189,2,1,6,5,5,s_15,3.0,Road Pricing
190,2,2,6,4,1,s_15,4.0,Road Pricing
191,4,1,6,6,4,s_15,3.0,Road Pricing
192,2,1,5,4,1,s_15,3.0,Road Pricing
193,6,2,4,2,4,s_15,1.0,Road Pricing
194,6,2,2,1,1,s_15,2.0,Road Pricing
195,6,1,4,2,1,s_15,3.0,Road Pricing
196,5,1,6,4,1,s_15,3.0,Road Pricing
198,5,1,8,5,1,s_15,5.0,Road Pricing
200,6,1,8,2,4,s_15,1.0,Road Pricing
201,3,2,2,2,3,s_15,4.0,Road Pricing
202,9,2,8,2,2,s_15,4.0,Road Pricing
203,4,2,6,6,5,s_15,4.0,Road Pricing
204,4,2,4,6,5,s_15,3.0,Road Pricing
205,2,1,5,3,4,s_15,3.0,Road Pricing
206,5,1,8,5,3,s_15,4.0,Road Pricing
207,6,1,1,1,1,s_15,5.0,Road Pricing
208,1,1,1,1,1,s_15,5.0,Road Pricing
209,5,2,2,4,1,s_15,4.0,Road Pricing
210,5,1,4,4,1,s_15,3.0,Road Pricing
211,9,2,1,1,5,s_15,2.0,Road Pricing
212,10,2,8,4,2,s_15,1.0,Road Pricing
