policy,intercept,slope,abs_slope
Air Travel Tax,4.2744,-0.1441,0.1441
Climate Finance for Developing Countries,4.0294,-0.105,0.105
CO₂ Tax,3.9261,-0.1212,0.1212
Emissions Trading — Company Level,2.8236,0.0017,0.0017
Emissions Trading — International,2.6745,-0.0107,0.0107
EV Purchase Subsidies,3.6177,-0.0647,0.0647
Fuel-Economy Standards (Consumer Cost),3.9056,-0.1482,0.1482
Green Investment & Bonds Incentives,3.9735,-0.0998,0.0998
Plant-Based Food Initiatives,3.874,-0.1345,0.1345
Public Transport Expansion Funding,4.1674,-0.103,0.103
Red Meat Tax,3.6675,-0.1812,0.1812
Road Pricing (Pay-per-km),3.9407,-0.1672,0.1672
Urban Diesel-Car Restrictions,4.1675,-0.1654,0.1654
